2018-06-16 07:47:04 : INFO _internal.py =>  * Restarting with stat
2018-06-16 07:47:05 : WARNING _internal.py =>  * Debugger is active!
2018-06-16 07:47:05 : INFO _internal.py =>  * Debugger PIN: 475-809-491
2018-06-16 07:47:06 : INFO _internal.py =>  * Running on http://127.0.0.1:8082/ (Press CTRL+C to quit)
2018-06-16 07:51:47 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:51:47] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:51:48 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:51:48] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:53:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:53:28] "GET /register HTTP/1.1" 200 -
2018-06-16 07:53:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:53:28] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:53:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:53:28] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:53:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:53:28] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:53:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:53:29] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:53:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:53:30] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:53:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:53:30] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:54:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:11] "GET /register HTTP/1.1" 200 -
2018-06-16 07:54:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:11] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:54:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:11] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:54:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:11] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:54:12 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:12] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:54:12 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:12] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:54:12 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:12] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:54:15 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:15] "GET /register HTTP/1.1" 200 -
2018-06-16 07:54:15 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:15] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:54:15 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:15] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:54:15 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:15] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:54:15 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:15] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:54:15 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:15] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:54:15 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:15] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:54:17 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:17] "GET /register HTTP/1.1" 200 -
2018-06-16 07:54:17 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:17] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:54:17 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:17] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:54:17 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:17] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:54:17 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:17] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:54:17 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:17] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:54:18 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:18] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:54:22 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:22] "GET /register HTTP/1.1" 200 -
2018-06-16 07:54:23 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:23] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:54:23 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:23] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:54:23 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:23] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:54:23 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:23] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:54:23 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:23] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:54:23 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:54:23] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:55:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:28] "GET /register HTTP/1.1" 200 -
2018-06-16 07:55:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:29] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:55:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:29] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:55:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:29] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:55:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:29] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:55:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:30] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:55:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:30] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:55:54 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:54] "GET /register HTTP/1.1" 200 -
2018-06-16 07:55:55 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:55] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:55:55 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:55] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:55:55 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:55] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:55:55 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:55] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:55:56 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:56] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:55:56 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:55:56] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:56:21 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:21] "GET /register HTTP/1.1" 200 -
2018-06-16 07:56:22 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:22] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:56:22 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:22] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:56:22 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:22] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:56:22 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:22] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:56:23 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:23] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:56:23 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:23] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:56:44 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:44] "GET /register HTTP/1.1" 200 -
2018-06-16 07:56:44 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:44] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:56:45 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:45] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:56:45 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:45] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:56:45 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:45] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:56:46 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:46] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:56:46 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:56:46] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:57:09 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:09] "GET /register HTTP/1.1" 200 -
2018-06-16 07:57:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:10] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:57:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:10] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:57:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:10] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:57:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:11] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:57:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:11] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:57:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:11] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 07:57:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:28] "GET /register HTTP/1.1" 200 -
2018-06-16 07:57:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:28] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 07:57:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:28] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 07:57:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:28] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 07:57:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:29] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 07:57:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:30] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 07:57:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 07:57:30] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:06:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:06:29] "GET /register HTTP/1.1" 200 -
2018-06-16 08:06:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:06:29] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:06:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:06:29] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:06:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:06:29] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:06:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:06:30] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:06:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:06:30] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:06:31 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:06:31] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:09:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:09:30] "GET /register HTTP/1.1" 200 -
2018-06-16 08:09:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:09:30] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:09:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:09:30] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:09:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:09:30] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:09:31 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:09:31] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:09:31 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:09:31] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:09:32 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:09:32] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:10:24 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:10:24] "GET /register HTTP/1.1" 200 -
2018-06-16 08:10:25 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:10:25] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:10:25 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:10:25] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:10:25 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:10:25] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:10:26 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:10:26] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:10:26 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:10:26] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:10:26 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:10:26] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:11:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:10] "GET /register HTTP/1.1" 200 -
2018-06-16 08:11:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:10] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:11:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:10] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:11:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:10] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:11:11 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:11] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:11:12 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:12] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:11:12 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:12] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:11:19 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:19] "GET /register HTTP/1.1" 200 -
2018-06-16 08:11:19 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:19] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:11:19 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:19] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:11:19 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:19] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:11:20 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:20] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:11:20 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:20] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:11:20 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:20] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:11:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:30] "GET /register HTTP/1.1" 200 -
2018-06-16 08:11:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:30] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:11:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:30] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:11:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:30] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:11:31 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:31] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:11:31 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:31] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:11:32 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:11:32] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:15:08 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:08] "GET /register HTTP/1.1" 200 -
2018-06-16 08:15:08 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:08] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:15:08 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:08] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:15:08 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:08] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:15:09 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:09] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:15:09 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:09] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:15:10 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:10] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:15:28 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:28] "GET /register HTTP/1.1" 200 -
2018-06-16 08:15:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:29] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:15:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:29] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:15:29 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:29] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:15:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:30] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:15:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:30] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:15:30 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:30] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:15:53 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:53] "GET /register HTTP/1.1" 200 -
2018-06-16 08:15:53 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:53] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:15:53 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:53] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:15:53 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:53] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:15:54 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:54] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:15:55 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:55] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:15:55 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:15:55] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:20:46 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:20:46] "GET /register HTTP/1.1" 200 -
2018-06-16 08:20:47 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:20:47] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:20:47 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:20:47] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:20:47 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:20:47] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:20:48 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:20:48] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:20:48 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:20:48] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:20:48 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:20:48] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:22:07 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:22:07] "GET /register HTTP/1.1" 200 -
2018-06-16 08:22:07 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:22:07] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:22:07 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:22:07] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:22:07 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:22:07] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:22:08 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:22:08] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
2018-06-16 08:22:08 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:22:08] "GET /static/images/background.jpg HTTP/1.1" 200 -
2018-06-16 08:22:09 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:22:09] "GET /favicon.ico HTTP/1.1" 404 -
2018-06-16 08:23:14 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:23:14] "GET /register HTTP/1.1" 200 -
2018-06-16 08:23:14 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:23:14] "GET /static/css/style.css HTTP/1.1" 200 -
2018-06-16 08:23:14 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:23:14] "GET /static/js/register.js HTTP/1.1" 200 -
2018-06-16 08:23:14 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:23:14] "GET /static/images/logo.png HTTP/1.1" 200 -
2018-06-16 08:23:15 : INFO _internal.py => 127.0.0.1 - - [16/Jun/2018 08:23:15] "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 -
